#,Title,Abstract,CPC Classifications,IPCR Classifications,Combined,Keyphrases
90,Opacified Polyester Textile Material,"A textile material which comprises polyester fibres covered with titanium dioxide particles having an average particle size of at least 0.18 microns in an amount of up to 20 percent, based upon the weight of the textile material, the durability of bonding of the particles to the fibres in the absence of added binder as the primary bonding means being such that at least 50 percent of the particles remain bound to the surface of the fibres after five standard AATCC washings. A process for treating a textile material, which comprises contacting the material with an aqueous dispersion of titanium dioxide pigment having a particle size of at least 0.18 microns, with agitation, and at a pH of less than 7.5, whereby the titanium dioxide pigment exhausts from the dispersion.",D06M11/46,D06M11/46,"Opacified Polyester Textile Material A textile material which comprises polyester fibres covered with titanium dioxide particles having an average particle size of at least 0.18 microns in an amount of up to 20 percent, based upon the weight of the textile material, the durability of bonding of the particles to the fibres in the absence of added binder as the primary bonding means being such that at least 50 percent of the particles remain bound to the surface of the fibres after five standard AATCC washings. A process for treating a textile material, which comprises contacting the material with an aqueous dispersion of titanium dioxide pigment having a particle size of at least 0.18 microns, with agitation, and at a pH of less than 7.5, whereby the titanium dioxide pigment exhausts from the dispersion.",
91,Composite yarn of liquid crystal polymer fibers and modified polyacrylonitrile fibers,"The invention relates to a multifunctional protective textile for protective garments and accessories made from high strength fibers, said garments and accessories are abrasion resistant, improved penetration resistant, laceration resistant, and flame resistant, the textile is made from a flame resistant knitted outer layer made of a first yarn containing modacrylic, FR rayon, Opan, or aramid fibers; and, a penetration resistant knitted inner layer made of a second yarn made from 50-90% HBA/HNA filaments, as well as methods of manufacturing yarn, methods of manufacturing a textile using the yarn, and apparel made from the yarn.",F41H1/02;;D02G3/045;;D02G3/44;;D10B2321/10;;D10B2331/042;;F41H5/0485;;D02G3/045;;C08L67/04;;C08L2203/12;;D02G3/44;;D10B2321/10;;D10B2331/042;;F41H1/02;;F41H5/0485,D02G3/04;;C08L67/04;;F41H1/02;;F41H5/04,"Composite yarn of liquid crystal polymer fibers and modified polyacrylonitrile fibers The invention relates to a multifunctional protective textile for protective garments and accessories made from high strength fibers, said garments and accessories are abrasion resistant, improved penetration resistant, laceration resistant, and flame resistant, the textile is made from a flame resistant knitted outer layer made of a first yarn containing modacrylic, FR rayon, Opan, or aramid fibers; and, a penetration resistant knitted inner layer made of a second yarn made from 50-90% HBA/HNA filaments, as well as methods of manufacturing yarn, methods of manufacturing a textile using the yarn, and apparel made from the yarn.",
92,Greenhouse screen,"A greenhouse screen is described with strips of film material that are interconnected by a yarn system of transverse threads and longitudinal threads by means of knitting, warp-knitting or weaving process to form a continuous product is disclosed. At least some of the strips include a film material in the form of a single- or multilayer polyethylene film having a thickness of 10-70 micrometers. Said film has at least 2-4 wt.-% SiO2 particles having a D50 of 2-10 micrometers. The film is advantageously used as a screen providing light scattering properties particularly suited for greenhouse applications.",A01G9/22;;A01G2009/1461;;Y02A40/25;;A01G9/22;;A01G2009/1453;;Y02A40/25;;D04B21/165;;A01G2009/1461;;D10B2321/021;;Y10T442/3114;;D10B2401/20;;Y10T442/431;;D03D15/60;;D04B1/16;;D10B2505/18;;Y10T442/463;;A01G9/22;;D04B1/16;;A01G2009/1461;;D03D15/60;;D04B21/165;;A01G2009/1453;;D10B2321/021;;D10B2401/20;;D10B2505/18;;Y02A40/25;;Y10T442/3114;;Y10T442/431;;Y10T442/463;;D03D15/60;;A01G9/22;;A01G2009/1453;;A01G2009/1461;;D04B21/165;;D10B2321/021;;D10B2401/20;;D10B2505/18,A01G9/22;;A01G9/14;;D03D15/60;;D04B21/16,"Greenhouse screen A greenhouse screen is described with strips of film material that are interconnected by a yarn system of transverse threads and longitudinal threads by means of knitting, warp-knitting or weaving process to form a continuous product is disclosed. At least some of the strips include a film material in the form of a single- or multilayer polyethylene film having a thickness of 10-70 micrometers. Said film has at least 2-4 wt.-% SiO2 particles having a D50 of 2-10 micrometers. The film is advantageously used as a screen providing light scattering properties particularly suited for greenhouse applications.",
93,Textile woven and knit fabrics with enhanced flame retardancy and comfort for bedclothing products,"Textile woven and knit fabrics with inherent flame resistant properties for use in household filled bedclothing applications, such as mattress ticking. In one embodiment, the yarn used to weave or knit the fabric comprises from about 25 to about 60 weight % modacrylic fiber and from about 40 to about 75 weight % cellulosic fiber. In another embodiment, the yarns used to knit the fabrics can comprise from about 25 to about 75 weight % modacrylic fiber, from about 20 to about 50 weight % of cellulosic fibers, and from about 5 to about 55 weight % of other materials such as polyester fibers/filaments and/or glass filaments. Preferably, the woven fabrics have a spun yarn count from about 20/1 ecc to about 40/1 ecc, while the knit fabrics have a spun yarn count from 10/1 ecc to 30/1 ecc for the face side layer, a yarn count of 4/1 ecc to 10/1 ecc as well as 4/2 ecc to 10/2 ecc for the filling layer, and a yarn count of 20/1 ecc to 40/1 ecc (more preferably 30/1 ecc to 40/1 ecc) as well as a filament yarn count of 100 denier to 300 denier for the back side layer. The textile woven fabric may be suitable for filled bedclothing products such as comforters, bed spreads, pillow and mattress covers, and pillow and mattress pad ticking. The textile knit fabric may be suitable for mattress ticking applications.",D02G3/04;;D02G3/443;;D04B1/14;;D10B2201/00;;D10B2321/101;;D10B2503/06;;Y10T428/2929;;Y10T442/30;;D02G3/04;;D02G3/443;;D04B1/14;;D10B2201/00;;D10B2321/101;;D10B2503/06;;Y10T428/2929;;Y10T442/30,D03D15/00;;D02G3/00,"Textile woven and knit fabrics with enhanced flame retardancy and comfort for bedclothing products Textile woven and knit fabrics with inherent flame resistant properties for use in household filled bedclothing applications, such as mattress ticking. In one embodiment, the yarn used to weave or knit the fabric comprises from about 25 to about 60 weight % modacrylic fiber and from about 40 to about 75 weight % cellulosic fiber. In another embodiment, the yarns used to knit the fabrics can comprise from about 25 to about 75 weight % modacrylic fiber, from about 20 to about 50 weight % of cellulosic fibers, and from about 5 to about 55 weight % of other materials such as polyester fibers/filaments and/or glass filaments. Preferably, the woven fabrics have a spun yarn count from about 20/1 ecc to about 40/1 ecc, while the knit fabrics have a spun yarn count from 10/1 ecc to 30/1 ecc for the face side layer, a yarn count of 4/1 ecc to 10/1 ecc as well as 4/2 ecc to 10/2 ecc for the filling layer, and a yarn count of 20/1 ecc to 40/1 ecc (more preferably 30/1 ecc to 40/1 ecc) as well as a filament yarn count of 100 denier to 300 denier for the back side layer. The textile woven fabric may be suitable for filled bedclothing products such as comforters, bed spreads, pillow and mattress covers, and pillow and mattress pad ticking. The textile knit fabric may be suitable for mattress ticking applications.",
94,KNITTED GEOTEXTILE,"A knitted geotextile includes a plurality of first strength yarns arranged in a first layer, each of the plurality of first strength yarns extending in a first direction, a plurality of second strength yarns arranged in a second layer, each of the plurality of second strength yarns extending in a second direction, a plurality of capillary active yarns arranged in at least one of the first layer or the second layer, and a plurality of knitting yarns interconnecting the plurality of first strength yarns, the plurality of second strength yarns, and the plurality of capillary active yarns.",E01F5/00;;D10B2505/204;;D04B21/08;;D04B21/16;;D04B21/20;;D10B2321/022;;D10B2331/02;;D10B2401/02;;D10B2401/063;;D04B21/20;;D04B21/16;;D04B21/08;;E01F5/00;;D10B2401/02;;D10B2401/063;;D10B2331/02;;D10B2321/022;;D10B2505/204,D04B21/20;;D04B21/08;;D04B21/16;;E01F5/00,"KNITTED GEOTEXTILE A knitted geotextile includes a plurality of first strength yarns arranged in a first layer, each of the plurality of first strength yarns extending in a first direction, a plurality of second strength yarns arranged in a second layer, each of the plurality of second strength yarns extending in a second direction, a plurality of capillary active yarns arranged in at least one of the first layer or the second layer, and a plurality of knitting yarns interconnecting the plurality of first strength yarns, the plurality of second strength yarns, and the plurality of capillary active yarns.",
95,Textile genuine leather process,"The invention provides textile genuine leather. The textile genuine leather comprises a nano silver particle layer. The nano silver particle layer is obtained through the following method which comprises the steps that nano silver particles with the diameter being 1-2 nm are dispersed in acrylic resin paint with the usage being 20-25 g/L, then the acrylic resin paint is sprayed to one side of thegenuine leather, drying is conducted, and the textile genuine leather is obtained. The textile genuine leather has the advantages that firstly, the designed product is more reliable and higher in sensitivity, and safety is ensured; secondly, the designed product is used for conducting operation in the textile field efficiently and completely; and thirdly, the designed product is simple in structure.",C14C11/00;;C14C9/00,C14C11/00;;C14C9/00,"Textile genuine leather process The invention provides textile genuine leather. The textile genuine leather comprises a nano silver particle layer. The nano silver particle layer is obtained through the following method which comprises the steps that nano silver particles with the diameter being 1-2 nm are dispersed in acrylic resin paint with the usage being 20-25 g/L, then the acrylic resin paint is sprayed to one side of thegenuine leather, drying is conducted, and the textile genuine leather is obtained. The textile genuine leather has the advantages that firstly, the designed product is more reliable and higher in sensitivity, and safety is ensured; secondly, the designed product is used for conducting operation in the textile field efficiently and completely; and thirdly, the designed product is simple in structure.",
96,Preparation method of elasticized sea-island superfine fiber synthetic base cloth,"The invention discloses a preparation method of elasticized sea-island superfine fiber synthetic base cloth, and belongs to the technical field of synthetic base cloth, the preparation method comprises the following steps: S1, polyester sea-island fiber, cationic polyester sea-island fiber and high-shrinkage polyester fiber are blended and compounded to form a composite fiber line; s2, adopting composite fiber yarns as warp yarns and weft yarns, and carrying out plain weaving to form a base cloth layer; s3, polyester filament yarn is adopted as core yarn, sea-island fiber yarn is adopted as wrap yarn, and blended yarn is formed through blending; s4, the blended yarn serves as warp yarn and weft yarn, and a cloth outer layer is formed through plain weaving; and S5, compounding the base cloth layer and the cloth outer layer to form the synthetic base cloth. By means of the preparation method, the cationic polyester sea-island fibers and the polyester sea-island fibers can emerge on the cloth cover in a staggered mode, the dyeing effect of the cloth is improved, it is guaranteed that color changes are rich, styles are diversified, and meanwhile the cloth has the diversified functions of good moisture absorption, air permeability, wrinkle resistance and the like.",B32B5/263;;B32B37/06;;A41D31/305;;A41D31/125;;A41D31/145;;A41D31/02;;A41D31/04;;D06M11/44;;D06M11/00;;D06M11/76;;D06M16/00;;D03D15/47;;D03D15/283;;D03D13/00;;D03D15/33;;B32B2262/0276;;B32B2262/0284;;B32B2307/724;;B32B2307/726;;B32B2307/71;;B32B2307/7145;;B32B2437/00;;D06M2101/32;;D06M2200/25;;D10B2331/04,B32B27/02;;A41D31/02;;A41D31/04;;A41D31/12;;A41D31/14;;A41D31/30;;B32B27/06;;B32B27/12;;B32B27/36;;B32B37/06;;D03D13/00;;D03D15/283;;D03D15/33;;D03D15/47;;D06M11/00;;D06M11/44;;D06M11/76;;D06M101/32,"Preparation method of elasticized sea-island superfine fiber synthetic base cloth The invention discloses a preparation method of elasticized sea-island superfine fiber synthetic base cloth, and belongs to the technical field of synthetic base cloth, the preparation method comprises the following steps: S1, polyester sea-island fiber, cationic polyester sea-island fiber and high-shrinkage polyester fiber are blended and compounded to form a composite fiber line; s2, adopting composite fiber yarns as warp yarns and weft yarns, and carrying out plain weaving to form a base cloth layer; s3, polyester filament yarn is adopted as core yarn, sea-island fiber yarn is adopted as wrap yarn, and blended yarn is formed through blending; s4, the blended yarn serves as warp yarn and weft yarn, and a cloth outer layer is formed through plain weaving; and S5, compounding the base cloth layer and the cloth outer layer to form the synthetic base cloth. By means of the preparation method, the cationic polyester sea-island fibers and the polyester sea-island fibers can emerge on the cloth cover in a staggered mode, the dyeing effect of the cloth is improved, it is guaranteed that color changes are rich, styles are diversified, and meanwhile the cloth has the diversified functions of good moisture absorption, air permeability, wrinkle resistance and the like.",
97,Flame-retardant polyester textile fabric,"The utility model relates to the field of polyester fabrics, and discloses a flame-retardant polyester textile fabric. The textile fabric comprises a textile fabric body, protective film layers are movably bonded to the surfaces of the upper side and the lower side of the textile fabric body, a plurality of bonding bottom pieces are fixedly installed on the surfaces of the protective film layers, and wear-resistant protrusions are bonded to the surfaces of the bonding bottom pieces. In the using process of the textile fabric body, the protective film layers on the surfaces of the upper side and the lower side of the textile fabric body can protect the textile fabric body, and the bonding base layers in the protective film layers are matched with the wear-resistant protrusions on the surfaces of the protective film layers, so that the textile fabric body is more wear-resistant and not prone to being damaged; the durability of the textile fabric body in the using process is improved, meanwhile, the textile fabric body is not prone to external corrosion due to the corrosion-resistant layer, and the overall safety of the textile fabric body is improved.",,B32B3/08;;B32B9/02;;B32B9/04;;B32B27/06;;B32B27/08;;B32B27/12;;B32B27/32;;B32B27/38;;B32B33/00,"Flame-retardant polyester textile fabric The utility model relates to the field of polyester fabrics, and discloses a flame-retardant polyester textile fabric. The textile fabric comprises a textile fabric body, protective film layers are movably bonded to the surfaces of the upper side and the lower side of the textile fabric body, a plurality of bonding bottom pieces are fixedly installed on the surfaces of the protective film layers, and wear-resistant protrusions are bonded to the surfaces of the bonding bottom pieces. In the using process of the textile fabric body, the protective film layers on the surfaces of the upper side and the lower side of the textile fabric body can protect the textile fabric body, and the bonding base layers in the protective film layers are matched with the wear-resistant protrusions on the surfaces of the protective film layers, so that the textile fabric body is more wear-resistant and not prone to being damaged; the durability of the textile fabric body in the using process is improved, meanwhile, the textile fabric body is not prone to external corrosion due to the corrosion-resistant layer, and the overall safety of the textile fabric body is improved.",
98,PREPARATION METHOD OF SM NON-WOVEN FABRICS FOR ROOF ANTI-SLIP,"The present application discloses a preparation method of SM non-woven fabrics for roof anti-slip, which belongs to the technical field of roofing materials, comprising preparing spunbond non-woven fabric raw materials, preparing spunbond non-woven fabrics, preparing meltblown non-woven fabric raw materials, preparing primary SM non-woven fabrics, and post-processing; the spunbond non-woven fabric raw materials are prepared by uniformly mixing polypropylene with a low melt flow index, polypropylene with a high melt flow index, sodium alginate, antioxidant 1010, zinc stearate, ultraviolet absorber UV-531, polyvinyl alcohol, reinforcing agent, adhesive agent, and nano titanium dioxide. The present application can avoid the problem that the SM non-woven fabrics cannot be fully bonded together and are easy to delaminate when being combined, can also solve the problem of fabric breakage during high-speed production, and can also improve the wear resistance, strength, and stiffness of SM non-woven fabrics. The prepared SM non-woven fabrics have low production costs, are easy to recycle, and have good environmental performances.",D04H1/4291;;D04H1/56;;D01F8/06;;D01F1/10;;D06M15/11;;D06M15/3562;;D06M11/72;;D06M13/262;;D06M2101/20;;D06M15/11;;D01F1/106;;D04H3/16;;D04H1/4374;;D04H1/435;;D06M15/3562;;E04D5/12;;D04H1/56;;D06M13/262;;D01D5/0985;;D06M11/72;;D04H1/587;;D01D1/106;;D04H1/4291;;D04H1/43825;;D04H1/593;;D01F6/06;;D04H3/007;;D01F1/10;;D06M11/46;;D04H1/43825;;D01D1/106;;D01D5/0985;;D01F1/106;;D01F6/06;;D04H1/4291;;D04H1/435;;D04H1/4374;;D04H1/56;;D04H1/587;;D04H1/593;;D04H3/16;;D06M11/72;;D06M13/262;;D06M15/11;;D06M15/3562;;D06M2101/20;;D06M2101/32;;D10B2321/021;;D10B2321/022;;D10B2401/00;;D10B2505/20;;E04D5/12;;B29C48/0018;;B29C2793/00;;B29C48/0022,D04H1/4374;;D01D1/10;;D01D5/098;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/435;;D04H1/4382;;D04H1/56;;D04H1/587;;D04H1/593;;D04H3/16;;D06M11/72;;D06M13/262;;D06M15/11;;D06M15/356;;D06M101/20;;D06M101/32;;E04D5/12,"PREPARATION METHOD OF SM NON-WOVEN FABRICS FOR ROOF ANTI-SLIP The present application discloses a preparation method of SM non-woven fabrics for roof anti-slip, which belongs to the technical field of roofing materials, comprising preparing spunbond non-woven fabric raw materials, preparing spunbond non-woven fabrics, preparing meltblown non-woven fabric raw materials, preparing primary SM non-woven fabrics, and post-processing; the spunbond non-woven fabric raw materials are prepared by uniformly mixing polypropylene with a low melt flow index, polypropylene with a high melt flow index, sodium alginate, antioxidant 1010, zinc stearate, ultraviolet absorber UV-531, polyvinyl alcohol, reinforcing agent, adhesive agent, and nano titanium dioxide. The present application can avoid the problem that the SM non-woven fabrics cannot be fully bonded together and are easy to delaminate when being combined, can also solve the problem of fabric breakage during high-speed production, and can also improve the wear resistance, strength, and stiffness of SM non-woven fabrics. The prepared SM non-woven fabrics have low production costs, are easy to recycle, and have good environmental performances.",
99,Fireproof flame-retardant textile,"The invention provides a fireproof flame-retardant textile. According to the adopted technical scheme, the fireproof flame-retardant textile comprises common nylon, and is characterized by further comprising the following compositions in parts by mass: 5-10 parts of flame-retardant acrylic fiber, 5-10 parts of ammonium polyphosphate compounds, 5-11 parts of boride flame retardant, and 5-11 parts of trixylyl phosphate. Compared with the prior art, the fireproof flame-retardant textile has the beneficial effect that the fireproof flame-retardant textile has good fire extinguishment effect by adding the flame-retardant acrylic fiber, the ammonium polyphosphate compounds, the boride flame retardant and the trixylyl phosphate.",,A41D31/00,"Fireproof flame-retardant textile The invention provides a fireproof flame-retardant textile. According to the adopted technical scheme, the fireproof flame-retardant textile comprises common nylon, and is characterized by further comprising the following compositions in parts by mass: 5-10 parts of flame-retardant acrylic fiber, 5-10 parts of ammonium polyphosphate compounds, 5-11 parts of boride flame retardant, and 5-11 parts of trixylyl phosphate. Compared with the prior art, the fireproof flame-retardant textile has the beneficial effect that the fireproof flame-retardant textile has good fire extinguishment effect by adding the flame-retardant acrylic fiber, the ammonium polyphosphate compounds, the boride flame retardant and the trixylyl phosphate.",
100,Protective clothing unit having preferably textile fragment protection equipment,"The invention relates to a protective clothing unit, in particular a protective clothing unit having fragment protection, preferably having a protective function against fragments created and/or released by detonation and/or explosion, comprising outerwear and/or underwear and possibly comprising separate head and/or face protection, neck protection, shoulder protection, arm protection, hand protection, trunk protection, torso protection, genital and/or anal protection, and/or leg protection, wherein the protective clothing unit has fragment protection elements, preferably textile fragment protection elements, which are specific and different from each other and which are associated with different body regions when worn and/or cover different body regions when worn, preferably having a protective function against fragments created and/or released by detonation and/or explosion.",F41H5/0485;;F41H1/02;;F41H5/0485;;D04B1/12;;D10B2321/0211;;D04B1/102;;D04B1/246;;D04B1/243;;F41H1/02;;A41B9/06;;A41B9/12;;A41D1/06;;A41D3/00;;A41D13/02;;A41D13/11;;A41D19/01505;;A62B17/003;;A62B17/006;;F41H5/0478,F41H1/02;;A41B9/06;;A41B9/12;;A41D1/06;;A41D3/00;;A41D13/02;;A41D13/11;;A41D19/015;;A62B17/00;;D04B1/10;;D04B1/12;;D04B1/24;;F41H5/04,"Protective clothing unit having preferably textile fragment protection equipment The invention relates to a protective clothing unit, in particular a protective clothing unit having fragment protection, preferably having a protective function against fragments created and/or released by detonation and/or explosion, comprising outerwear and/or underwear and possibly comprising separate head and/or face protection, neck protection, shoulder protection, arm protection, hand protection, trunk protection, torso protection, genital and/or anal protection, and/or leg protection, wherein the protective clothing unit has fragment protection elements, preferably textile fragment protection elements, which are specific and different from each other and which are associated with different body regions when worn and/or cover different body regions when worn, preferably having a protective function against fragments created and/or released by detonation and/or explosion.",
101,HIGH VOLTAGE TRANSMISSION LINE CABLE BASED ON TEXTILE COMPOSITE MATERIAL,"An electric transmission cable having a current conductive element comprising a braided core formed of a plurality of high modulus synthetic armored yarns, each yarn being of at least 53.6 tex and having a tensile strength of at least 200 cN/tex (centiNewton/tex), and the core being of a diameter in the range of 0.7 mm to 4.5 mm and being surrounded by a quartz sleeve covered on an outer surface thereof by a carbon layer.",H01B3/50;;D07B1/147;;H01B1/18;;H01B3/08;;H01B5/105;;H01B7/1825;;H01B7/292;;H01B7/29;;D07B1/147;;D07B1/162;;H01B1/18;;H01B3/08;;H01B3/50;;H01B5/105;;H01B7/1825;;H01B7/292,H01B7/29,"HIGH VOLTAGE TRANSMISSION LINE CABLE BASED ON TEXTILE COMPOSITE MATERIAL An electric transmission cable having a current conductive element comprising a braided core formed of a plurality of high modulus synthetic armored yarns, each yarn being of at least 53.6 tex and having a tensile strength of at least 200 cN/tex (centiNewton/tex), and the core being of a diameter in the range of 0.7 mm to 4.5 mm and being surrounded by a quartz sleeve covered on an outer surface thereof by a carbon layer.",
102,A METHOD TO PRODUCE AN ANTIMICROBIAL POLYESTER TEXTILE USING CUTINASE,"The present invention relates to an antimicrobial method on polyester textile by contacting polyester textile with a cutinase in an aqueous solution, as well as a textile produced by such method.",D06M16/003;;A01N63/50;;C12N9/18;;C12Y301/01074;;D06M2101/32;;D06M16/003;;A01N63/50;;C12N9/18;;C12Y301/01074;;D06M2101/32,D06M16/00;;A01N63/50;;C12N9/18;;D06M101/32,"A METHOD TO PRODUCE AN ANTIMICROBIAL POLYESTER TEXTILE USING CUTINASE The present invention relates to an antimicrobial method on polyester textile by contacting polyester textile with a cutinase in an aqueous solution, as well as a textile produced by such method.",
103,"Laminated textile material, especially for technical applications.",,B32B5/26;;A47C7/26;;A47C31/006;;D04B21/14;;D10B2403/021;;D10B2505/08;;B32B5/26;;B32B5/024;;B32B5/026;;B32B5/18;;B32B5/245;;B32B7/12;;B32B2262/0261,A47C7/24;;A47C7/26;;A47C27/00;;B32B5/26;;D04B21/14,,
104,Textile sizing,"The invention provides a textile sizing which is composed of the raw materials of, by weight: 2-10% of polyacrylate, 20-60% of starch, 25-60% of polyvinyl alcohol, and 10-35% of kaolin. According to the textile sizing provided by the invention, polyvinyl alcohol is used for replacing most of acrylic acid series materials, such that sizing cost is reduced, and sizing effect is good.",,D06M15/333;;D06M11/79;;D06M15/11;;D06M15/263,"Textile sizing The invention provides a textile sizing which is composed of the raw materials of, by weight: 2-10% of polyacrylate, 20-60% of starch, 25-60% of polyvinyl alcohol, and 10-35% of kaolin. According to the textile sizing provided by the invention, polyvinyl alcohol is used for replacing most of acrylic acid series materials, such that sizing cost is reduced, and sizing effect is good.",
105,POLYESTER COMPOSITIONS AND THEIR USE AS TEXTILE ASSISTANTS,,,,,
106,FLAT-WARP-KNITTED OUTDOOR CLOTHING AND METHOD FOR MANUFACTURING THE SAME,"A garment comprising a warp-knitted fabric laminate comprising: a warp-knitted fabric forming an outer shell of the garment; an adhesively bonded film that adjoins the warp-knitted fabric on its inner side and conforms to the warp-knitted fabric; a thermal insulation layer optionally provided under the adhesively bonded film; and a warp-knitted inner lining coupled directly to the adhesively bonded film or the optionally provided thermal insulation layer, either detachably or fixedly by seams or stitches.",D04B21/207;;D10B2401/02;;D10B2403/0112;;A41D31/065;;D10B2501/04;;A41D31/102;;A41D31/185;;D04B21/207;;D10B2401/02;;D10B2403/0112;;A41D31/065;;D10B2501/04;;A41D31/102;;A41D31/185;;A41D31/125;;A41D31/14;;A41D3/00;;A41D2400/10;;A41D2500/10;;B32B5/026;;B32B7/12;;B32B27/12;;B32B27/40;;B32B2262/0261;;B32B2262/0276;;B32B2307/304;;B32B2307/712;;B32B2437/00;;D10B2331/04,A41D31/102;;A41D3/00;;A41D31/06;;A41D31/12;;A41D31/14;;A41D31/18;;B32B5/02;;B32B7/12;;B32B27/12;;B32B27/40;;D04B21/20,"FLAT-WARP-KNITTED OUTDOOR CLOTHING AND METHOD FOR MANUFACTURING THE SAME A garment comprising a warp-knitted fabric laminate comprising: a warp-knitted fabric forming an outer shell of the garment; an adhesively bonded film that adjoins the warp-knitted fabric on its inner side and conforms to the warp-knitted fabric; a thermal insulation layer optionally provided under the adhesively bonded film; and a warp-knitted inner lining coupled directly to the adhesively bonded film or the optionally provided thermal insulation layer, either detachably or fixedly by seams or stitches.",
107,Vehicle seat cover,"Disclosed are a vehicle seat cover made of an artificial suede. The vehicle seat cover includes a top layer provided in the top portion, a bottom layer provided in the bottom portion, and a intermediate layer positioned between the top layer and the bottom layer. Each of the layers has a tricot texture, and the top layer includes the first yarn having a configuration in which the dope dyed microfiber yarn and the first high shrinkage yarn are interlaced. Thus, the suede material may have superior friction fastness and the light fastness and the vehicle seat cover is manufactured at less cost than a vehicle seat cover made of a conventional artificial suede.",B60N2/5891;;B32B2260/046;;B32B2260/021;;B32B2601/00;;B32B5/26;;B32B5/02;;B32B2262/0276;;B32B2262/02;;B32B2262/16;;B32B2250/20;;D04B21/16;;D10B2331/04;;D10B2403/0121;;D10B2505/08;;D06N3/14;;D06N3/0009;;D04B21/16;;D06C7/02;;D06N3/0075;;D06N3/0077;;D06M11/38;;D06C3/00;;D06C13/00;;B60N2/58;;D06N2209/1678;;D06N2211/263;;B60N2/7017;;D04B21/20;;B32B5/26;;B32B5/026;;D10B2505/12;;B32B2605/003;;D10B2403/0111;;B32B2262/132;;D10B2331/04;;B32B2260/021;;B32B2260/046;;B32B2262/0261;;D10B2331/02;;B32B2262/0276,B60N2/70;;B32B5/02;;B32B5/26;;D04B21/20,"Vehicle seat cover Disclosed are a vehicle seat cover made of an artificial suede. The vehicle seat cover includes a top layer provided in the top portion, a bottom layer provided in the bottom portion, and a intermediate layer positioned between the top layer and the bottom layer. Each of the layers has a tricot texture, and the top layer includes the first yarn having a configuration in which the dope dyed microfiber yarn and the first high shrinkage yarn are interlaced. Thus, the suede material may have superior friction fastness and the light fastness and the vehicle seat cover is manufactured at less cost than a vehicle seat cover made of a conventional artificial suede.",
108,"Method for producing polyester fibers, polyester fibers, yarns and textiles","The present invention provides a method for producing polyester fibers which improves the defects that polyester fibers and the textiles thereof cannot be easily dyed. In such method, fibers could be dyed by using dispersed dyes at ambient pressure and a temperature of 100 DEG C or less without adding carrying agents, and have good dye-ability, high dyeing deepness and excellent color fastness. The textiles thereof have excellent dyeing retention. In the method for producing fibers which could be easily dyed at low temperature, a composition consisting of 99.9 to 60% by weight of a first polyester component with a Tg greater than 20 DEG C to 100 DEG C and 0.1 to 40% by weight of a second polyester component with a Tg of 20 DEG C to -50 DEG C is melted and spun to make such polyester fibers which could be easily dyed at low temperature.",C08L67/02;;D01F6/92;;Y10T428/249921;;Y10T428/2973;;D01F8/14;;C08L67/02;;D01F6/92;;Y10T428/249921;;Y10T428/2973,D01F8/14;;D01D5/08;;D02G3/02;;D06P3/52,"Method for producing polyester fibers, polyester fibers, yarns and textiles The present invention provides a method for producing polyester fibers which improves the defects that polyester fibers and the textiles thereof cannot be easily dyed. In such method, fibers could be dyed by using dispersed dyes at ambient pressure and a temperature of 100 DEG C or less without adding carrying agents, and have good dye-ability, high dyeing deepness and excellent color fastness. The textiles thereof have excellent dyeing retention. In the method for producing fibers which could be easily dyed at low temperature, a composition consisting of 99.9 to 60% by weight of a first polyester component with a Tg greater than 20 DEG C to 100 DEG C and 0.1 to 40% by weight of a second polyester component with a Tg of 20 DEG C to -50 DEG C is melted and spun to make such polyester fibers which could be easily dyed at low temperature.",
109,Method for producing a textile product,"A method for producing a textile product (I), (II), comprising at least two synthetic pile threads (P1), (P2) having a different pile height, so that a predetermined design is formed, in which the synthetic pile yarns (P1), (P2) are manufactured by extrusion from the same raw material, according to production processes which only differ from each other by a different setting of one or several process parameters of their respective extrusion processes, so that they have a different shrinking capability, and in which the textile product (I), (II) is subjected to a heat treatment which causes the pile yarns (P1), (P2) to shrink differently. Also such a method for producing synthetic textile yarns (P1), (P2) having a different shrinking capability.",D03D27/00;;D03D15/567;;D05C15/34;;D05C17/026;;D05D2305/26;;D10B2503/04;;D03D15/567;;D02G1/004;;D02G3/445;;D03D27/00;;D05C15/34;;D05C17/026;;D05D2305/26;;D10B2503/04,D01D5/08;;D03D15/567;;D01D5/22;;D01D7/00;;D01D10/02;;D01F6/06;;D01F6/60;;D01F6/62;;D02G1/00;;D02G3/44;;D02J1/12;;D02J13/00;;D03D27/00;;D03D27/06;;D04B1/02;;D04B1/04;;D04B21/02;;D04B21/04;;D05C15/34;;D05C15/36;;D05C17/02,"Method for producing a textile product A method for producing a textile product (I), (II), comprising at least two synthetic pile threads (P1), (P2) having a different pile height, so that a predetermined design is formed, in which the synthetic pile yarns (P1), (P2) are manufactured by extrusion from the same raw material, according to production processes which only differ from each other by a different setting of one or several process parameters of their respective extrusion processes, so that they have a different shrinking capability, and in which the textile product (I), (II) is subjected to a heat treatment which causes the pile yarns (P1), (P2) to shrink differently. Also such a method for producing synthetic textile yarns (P1), (P2) having a different shrinking capability.",
